Goal No.,Goal No.,title,Abstract
1,2,Development of soil improvement materials rich in free-living nematodes using sewage sludge ,"Global agricultural losses caused by plant parasitic nematodes are estimated up to $157 billion annually
1)
. The
  current main countermeasure method for nematode disease is to eradicate causative microorganisms with soil
fumigants, but fumigants are harmful to human and there is a demerit of killing beneficial microorganisms. Plant
diseases caused by plant parasitic nematodes are known to be controllable by utilizing the predation ability of free-
2)
livingnematodes .Inthisresearch,effectivesoilconditionerscontainingalargenumberoffree-livingnematodes
for plant diseases caused by plant parasitic nematodes. And the growth conditions of free-living nematodes in soil conditioners were determined. As a result, it was confirmed that the number of nematodes grew from about 200 individual (ind.)/10g-Dry Matter (D.M.) to more than 1.5×105 ind./10g-D.M. when using sewage sludge was mixed. Thus, it is considered that the bacteria in sewage sludge including Bacillus sp. became good feeds for nematodes and proliferated."
2,1,Comparative analysis of soil microbial communities in cherry tomato cultivation fields supplemented with green tuff ,"A tomato (Solanum lycopersicum) is one of the popular edible vegetable in Japan. The amount of domestic production and import volume of fresh tomato in 2018 were 657,100 tons and 9,238 tons, respectively. In this study, we focused on a cherry tomato (Solanum lycopersicum ver. cerasiforme), which is occupied 10% of domestic tomato production. Recently, demand of a cherry tomato has increased in the world owing to presence of several benetifical functional components (e.g. lutein and lycopene) and high preservability. For stable cultivation of a cherry tomatoes, supplementation of minerals and good nutrient cycling in soil are important. The essential minerals for tomato cultivation are known as calcium and magnesium, which are necessary for the growth and chlorophyll production, respectively. The lack of each mineral causes rot of the tomato and yellowish leaves. Although supplementation of minerals are often performed by additional chemical fertilizer or direct spray of minerals to fruits and leaves, these management requires sensitive monitoring of tomato growth and high cost. In addition to mineral supplementation, microorganisms play an important role for nutrient cycling in the soil. Besides, some studies have been reported that the lower biodiversity in the soil affects to plant diseases due to decrease of presence of antagonistic organisms against pathogens. Therefore, to maintain the “healthy” condition of soil biodiversity, proportion of organic farming has increased. However, it is not easy to switch into organic farming immediately because the manual of organic farming for increase of biodiversity is not well established. Therefore, to increase soil biodiversity, we focused on characteristics of green tuff, which has several kinds of minerals, porous structures, and good elution capacity of calcium and magnesium. In previous our study, we confirmed the increase of biodiversity in green-onion cultivation field applying green tuff with organic fertilizers. However, the single influence of green tuff supplementation for plant cultivation is still unknown.
Our purpose of this study is evaluation of effects of green tuff supplementation into soil microbiome
  and chemical characteristics. To investigate the effect of green tuff supplementation, we prepared three types of 22
test areas with 1) no addition of green tuff, 2) 40kg/1000 m , and 3) 200kg/1000 m . To follow the changes of soil chemical and microbial characteristics, we sampled 11 times for 244 days cherry tomato cultivation (days 1, 8, 15, 29, 64, 93, 126, 165, 188, 217, and 244). Microbial community analysis was performed based on 16S rRNA gene sequence using High throughput DNA sequencer MiSeq. In doing so, we could find the difference of microbial co-occurrence network and unique microbial community changes among test areas."
2,12,Analysis of free-living nematodes in Chinese yam farm with the soil improvement material ,"Chinese yam is vulnerable to dryness, grows under fertile soil and requires specific climatic conditions. Gunma Prefecture has one of the largest productions in Japan. However, plant parasitic nematodes cause damages to Chinese yam and reduce crop production.
We have developed the soil improvement material (including Bacillus subtilis 1x107 (per 1 g dry weight) and free-living nematodes 1x104 (per 10 g wet weight)) utilizing biomass resources such as cedar bark, dried sludge and dehydrated soil. At the beginning of June 2018, the improvement material was introduced once in the test field of Chinese yam (3 kg / m2), and during the period until harvesting in November of the same year. The soil samples were collected once a week from the predetermined region (1st and 2nd wards). In this study, occurrence and genetic variation of free-living nematodes associated with the soil improvement material were investigated. The number of nematodes was maintained 100-1500 / 10 g during the half-year cultivation period in the test field. The nucleic acid sequences of rDNA ITS1 region were compared, and species of nematodes were identified as Cephalobidae sp., a mycophagous nematode and Phelenchoides sp. Furthermore, predatory nematodes, Paractinolaimus sp. and Rhyssocolpus which are considered to be effective in controlling continuous cropping disorders, were observed.
2
The yield of Chinese yam was 138 kg at a cultivation area of 60 m , and the shipping amount was 95 %, and it
was evaluated as being the same as when chemical pesticides were used. It was suggested that the soil amendment material has the effect of inhibiting cropping damage equivalent to chemical pesticides."
2,15,Identification of Arabidopsis SMOM8 gene involved in transgene expression ,"Transgenic plants with various useful traits have potentials to solve global issues such as food shortages and environmental problems. However, expression of the foreign genes, is often suppressed by host plant activities. This phenomenon is called Transcriptional Gene Silencing (TGS). It is known that DNA methylation, one of the chemical modifications on DNA molecule, causes TGS in eukaryotes, but how DNA methylation influence the gene expression is little understood. In a model plant, Arabidopsis thaliana, the mom1 mutation releases TGS in hypermethylated foreign genes without changes of the DNA methylation [1]. This suggests that the MOM1 protein acts downstream or independently of DNA methylation in TGS by unknown mechanism. To identify the novel factors which act in TGS mediated by MOM1, we performed a forward genetic screening for suppressor of mom1 mutation, named suppressor of mom1 (smom). In this study, we focus on one of the suppressor mutants, smom8. Phenotypic analyses of the mutant revealed that the SMOM8 gene is not involved only in transgene expression but also in expression of endogenous gene regulated by the MOM1 protein. Genetic analyses showed that the smom8 mutation is recessive and associated with a single locus. Linkage analysis indicated that SMOM8 gene is located on the chromosome 4."
2,15,Application of epigenome editing technology using CRISPR/Cas9 to plants ,"In eukaryotes, a methyl group is often added to cytosine base of DNA resulting in change of gene expression, which is called DNA methylation. It is known that pattern of DNA methylation can be maintained precisely during DNA replication. In plants, patterns of DNA methylation are often maintained even throughout meiosis, meaning that some of the changes can be inherited into the next generation. This allow changes of DNA methylation pattern to be applied into the plant breeding.
Recently, techniques for artificially manipulating pattern of DNA methylation, termed epigenome editing, in plant cells have been reported [1][2]. In the reports, epigenome editing techniques based on a CRISPR/Cas9-SunTag targeting system in a model plant, Arabidopsis thaliana, have been developed. They used tobacco DRM methylase and human TET1 demethylase as methylation effectors. It is still unclear whether their epigenome editing system can be applied generally, since the system is demonstrated to act on only a few specific genes loci such as the FWA locus. In order to develop novel epigenome editing system, we used another CRISPR/Cas9 system (SaCas9) isolated from Staphylococcus aureus instead of CRISPR-Cas9 system (SpCas9) from Streptococcus pyogenes which is commonly used. Our system would be expected to be applied to more generall purposes by combined with the SpCas9 system. In this study, we have created two kinds of the DNA constructs expressing dead SaCas9 proteins (dSaCas9s) which lack the double-strand break activity by introducing mutations, and are fused to Arabidopsis thaliana DRM2 methylase and DML3 demethylase, respectively. Using CRISPR/dSaCas9-DRM2 system, we tried to regulate DNA methylation and expression levels of GLABRA2 (GL2) and SUPERMAN (SUP) in Arabidopsis thaliana. Here, we will present the results of the expression and DNA methylation analyses of GL2 and SUP loci in the epigenome editing plants."
2,1,Microbial community analysis of newly prepared sewage sludge compost for button mushroom cultivation ,"
In Japan, approximately 2.34 million tons of sewage sludge is produced annually from sewage treatment plants. In recent advance of sewage sludge utilization, successful cultivation of strawberries and tomatoes using fertilizer derived from sewage sludge. Our research group has succeeded on button mushroom and oyster mushrooms cultivation using sewage sludge and underutilized biomass. For button mushroom cultivation, using sewage sludge compost and cattle manure compost with optimized peat moss as medium cover material, we could increase yields as 1.5–1.7 times higher than conventional cultivation method (100% cattle manure compost utilization). However, proportion of sewage sludge compost in mushroom media become lower due to higher Carbon/Nitrogen (C/N) ratio (17–20) requirement of button mushroom medium because C/N ratio of commercial sewage sludge compost is 6–8. In addition, the sewage sludge compost contains small amount of lignin (20% of cattle manure compost), which is necessary to cultivate button mushrooms. Besides, it is known that button mushroom hyphae preys on thermophilic bacteria belonging to orders Actinomycetales and Bacillales. In previous our study, results of button mushroom cultivation using sewage sludge compost with cattle manure compost indicated that the proportion of orders Bacillales bacteria increased along with the yield of mushrooms. Therefore, the difference of the microbial community structures in the mushroom media might be affected the yields of mushroom.
In this study, we attempted to produce new sewage sludge compost with a high C/N ratio and investigated the microbial community structures in mushroom media with different compost materials. Three types of compost were prepared as test areas 1: sewage sludge (mixing rate: 44.1%), soil improvement materials, and field soil (55.9%), test area 2: sewage sludge (11.1%), soil improvement materials (25.1%), field soil (47.0%), bamboo chips (8.3%), dried “Shochu” distillery waste (2.8%), and rice bran (5.6%), and test area 3: sewage sludge (40.0%), bamboo chips (30.0%), dried “Shochu” distillery waste (10.0%), and rice bran (20.0%).To evaluate the changes of microbial community structures in different composts, we performed MiSeq-based 16S rRNA gene sequence analysis and cultivation of general bacteria using nutrient broth (NB) and diluted NB media. As a result of fermentation of different compost materials, while order Actinomycetales predominated in test areas 1 and 2 (abundance rates, 1: 16.5% and 2: 20.2%), order Bacillales (21.7%) was predominant in test area 3. These results suggested that the difference of mixing rates of compost materials greatly influenced into the microbial community structures."
2,6,NEW CONCEPT OF AQUACULTURE SYSTEM FED WITH TREATED SEWAGE AS NUTRIENTS SOURCES ,"Based on previous research on combination system of down-flow hanging sponge (DHS) reactor and aquaponics cultivation system, nutrients that were not contained in the fish feed act as the limiting factors to the plants overall growth. The byproduct from ammonia nitrification in the DHS reactor, nitrate was readily available in the system. But, the scarcity of other important nutrient such as phosphate and iron, plant`s important internal functions such as nitrate uptake was inhibited, causing it to accumulate and unused. The periodical supplement of commercial fertilizer to the system was able to prevent excessive nitrate accumulation and promote plant`s growth recovery. In the long run, whether the practice of adding fertilizer to the system is sustainable is questionable. Therefore, sewage treated by DHS reactor contains phosphorous and nitrogen while the sponges are also a good growing place for fly`s larvae. Its nutrients rich properties is suitable to help overcome macro and micro nutrients problems in the aquaculture, at the same time, larvae can be an addition feed for the fish. Therefore, by substituting the fertilizer with the treated sewage, a semi-organic sustainable aquaculture system can be achieved."
2,14,EVALUATION OF KEY FACTOR FOR GROWTH OF SEAWEED IN AN AQUAPONICS-BASED AQUACULTURE SYSTEM FOR SEA WATER ,"Sea water aquaponics-based closed aquaculture system combined with seaweed cultivation has been conducted. Acanthogobius flavimanus, Palaemon pacificus, Crassostrea gigas, Caulerpa lentillifera were selected as fishery products and sea weed. Water in the aquarium was circulated by submerged pump via seaweed cultivation and down-flow hanging sponge (DHS) reactor. Mechanical aeration was not conducted in the aquarium. Dissolved oxygen concentration in the aquarium was kept more than 6 mg/L by water circulation via the DHS reactor and photosynthesis by C. lentillifera. In the aquaculture system, average concentration of ammonia, nitrite and nitrate were 0.34 ± 0.38 mgN/L, 0.04 ± 0.03 mgN/L and 3.2 ± 1.4 mgN/L, respectively. During experimental period, growth of C. lentillifera was stopped after three month cultivation. After replacement of 10% aquarium water with fresh sea water, C. lentillifera started to grow again. These results indicated that micronutrient in sea water become key factor for growth of C. lentillifera in the aquaculture system."
2,9,Development of remote ventilation and agro-environmental monitoring system for greenhouse,"
【Introduction】In general, the greenhouses are used for raising seedlings and cultivation of crops. Temperature and humidity control in the greenhouse is very important to produce high-quality seedlings and crops. Recently, sudden heavy rains and typhoons occur frequently in Japan. It is impossible for producers to manually ventilate in response to sudden changes in the temperature and humidity due to abnormal weather. Therefore, in this study, we are developing a remote ventilation and agro-environmental monitoring system for the greenhouse using smart devices.
【Development】 Figure 1 show the concept of remote ventilation and agro-environmental monitoring system. A webserver was constructed using RaspberryPi in the operation box. A webserver was accessed from a smart device via HTTP communication. The electric motors were operated using Arduino and the operation of the electric motor was controlled by the producer using a web application. Finally, we developed a remote ventilation system.
【Results】The manual ventilation of greenhouses has taken between 15 and 20 minutes per building. In contrast, the ventilation using the developed system was one and a half minutes per building. Also, it was found that multiple greenhouses can be ventilated at the same time and can be controlled from remote locations.
【Conclusion】It was found that ventilation work can be completed in a very short time by using this developed system compared with manual ventilation."
3,4,Effects of Tone Color Difference on Relaxation Effects,"People are exposed to various stresses in living. This is, it can be a factor that lowers the quality of our lives. We need effective relaxation methods in order to reduce our daily stress. Listening to the music is one of effective relaxation methods. It has been reported that music has various effects such as giving relaxation, giving further motivation, and giving more concentration [1]. It is a well-known fact that musical instruments are used to produce sound as material for the music. Even if you play the same song with different instruments, the overall impression of the song will change dramatically. Therefore, in this research, we investigate and analyze the relaxation effect by the difference of timbre (frequency component) for the purpose of discovering more effective relaxation.
The relaxation effect is evaluated by brain activity and autonomic nerve activity. The same timbre is used except for the main melody, and the main melody is played at the same tempo and the same volume using the four timbres of piano, flute, organ, and violin.
signal amplitude[dB]
-50dB
As an example, Figure 1 shows the frequency components of the piano and organ. Both the organ and the piano are recorded from a keyboard tone. Both keys are the same as 880 Hz (A5), however, the organ includes more harmonics than that of the piano.
We are going to investigate whether the difference of these components affects or not."
