Goal No.,title,Abstract,Conclusion,,
2,Estimation of Buckling Load of Glass Fibre Based Structure Sheet as Single Face,"The corrugated structure sheet have been widely used in manufacturing industries.
Because the corrugated structure have many advantages such as light-weight, high stiffness, cheap.
Generally, the corrugated fiberboard consists of three layers such as, the outside (upper) linear,
inside (lower) linear and a corrugated mediums. It is called as a double face corrugated sheet. In
this work, we focused on a glass fiber based single face corrugated sheet, which is produced by
Kubo Manufacturing Co., Ltd [1]. The glass fiber based single face corrugated structure sheet
(GFSS) is knitted with twisted yarn Nittobo E-glass for making its single face corrugated sheet.
It has a good electromagnetic wave transmission. The compressive strength is using the line force
along the panel lateral direction.
In this research is focus which circle shape of inside or outside of GFSS, varied diameter of
d = 30 , 40 and 50 mm, for results, conditions of Edge of crush circle d = 40 mm outside have
buckling strength higher than their shape.",,,
2,Development of a Low Cost Water-Level Sensor for Paddy Field and Based on Embedded System and IoT,"It is said that water level control is important in rice
farming. However, Controlling water level everyday takes
a lot of time and efforts due to the number of fields each
farmers have. Futhermore, techniques in water level con-
trol requires a lot of exprience in rice farming and it
makes hard situations to people who just started rice
farming. Low cost IoT system that enables to monitor
water level over the internet is in need. In this research,
we have developed waterlevel sensing system using pres-
sure sensor. We are going to evaluate the sensor using
the paddy field IoT system that we propose.","We placed the paddy field IoT system on real paddy
field. We performed 1.5km long distance wireless commu-
nication with using LoRa and uploaded data from paddy
field. We think that by applying correction based on
temperature, we improved the precision upto the point
where it is precise enough for sensing in paddy field.",,
2,"Attempt at a Development of Optimized Sewage Sludge Compost for Button
Mushroom Cultivation","In Japan, approximately 2.29 million tons of sewage sludge is produced annually from
sewage treatment plants, and 63% of the sludge has been reutilized for construction materials.
However, while the organic content accounts for 80% of the total, ? the utilization ratio focusing
on the organic characteristics of sewage sludge is quite low. Therefore, to utilize organic contents
of the sludge, our research group has conducted research on edible mushroom cultivation using
sewage sludge and regional biomass. Until now, we succeeded to cultivate oyster mushrooms and
button mushrooms using sewage sludge compost, and the observed edible mushrooms have
higher amino acids contents and high productivity compared with traditional cultivation methods.
Besides, our previous study suggested that difference of microbial community compositions such
as order Bacillales in the compost affected to the higher productivity of button mushroom.
However, because commercial sewage sludge compost has lower Carbon/Nitrogen (C/N) ratio
(6–8), proportion of the sludge compost become lower due to higher C/N ratio (17–20)
requirement of button mushroom medium.
To optimize the sewage sludge compost for button mushroom cultivation, we attempt to
prepare two types of composts under anaerobic condition: 1) modified sludge compost: sewage
sludge, soil improvement materials, and field soil and 2) mixed sludge compost: sewage sludge,
soil improvement materials, field soil, bamboo chips, dried “Shochu” distillery wastes, and rice
bran. Two composts were fermented for three months with 3 times mixing. To compare the
microbial community compositions of two types of composts, we evaluate 16S rRNA gene
sequence analysis and agar plate count of general bacteria. In future plan, we will attempt to
cultivate button mushroom using our prepared new composts with higher C/N ratio and compare
the amino acids contents and productivity with traditional and our previous cultivation ways.",,,
2,"Attempt at Elucidation of Parasitic-nematodes Controlling Mechanism of Bacillus
and Non-parasitic Nematodes Predominated Compos","A lotus root has been frequently eaten well as a vegetable in Japan, and yearly produced approximately 59,990 t. In current situation of lotus cultivation, replant problems of lotus such as ‘kokuhi disease’ (arising blacking spot on surface) and ‘yuzuhada disease’ (arising uneven surface like a skin of citrus fruits) are considered problematic because these diseases lead to deterioration of quality and decrease lotus production (e.g. loss of 100 million yen in Tokushima prefecture). It is known that two species of plant parasitic-nematodes named as Hirschmanniella diversa and H. imamuri cause these diseases. However, there is no effective control method for nematode disease. Therefore, we focused on Bacillus and non-parasitic nematodes predominated compost, which is prepared from Bacillus predominated night-soil sludge, cedar bark and dehydrated soil. Previously, it is reported that antibiotics (iturin A and Bt toxin) produced from genus Bacillus can protect plant growth against plant pathogenic microorganisms and nematodes. Also, it is known that non-parasitic nematodes have different feeding characteristics depending on environment, which are relevant to plant productivity and soil fertility. Besides, focusing on the feeding characteristics of the nematodes, we expect predatory nematodes grown in the compost attack parasitic nematodes. Therefore, we considered that disease from parasitic nematodes can be controlled by using Bacillus and non-parasitic nematodes predominated compost. In previous study, the fertilization of the compost at 3 t per 10 a prevented replant problem of potato from parasitic nematodes of Melidogyne incognita.  Our purpose of this study is elucidation of nematodes disease controlling mechanisms using the compost. To achieve our goals, we prepared three types of lotus cultivation planters at same conditions of fertilization with 1) the heat-treated compost, 2) untreated compost, and 3) no compost. By doing so, we can evaluate the effects of Bacillus and non-parasitic nematodes or component of the compost (without organisms) for parasitic nematodes controlling mechanism. In our previous study, growth rate of Bacillus was increased in lotus cultivation soil with the compost, and microbial community structure was different between few diseases occurred lotus field and serious disease occurred fields. Thus, in this study, we investigate growth of general bacteria and Bacillus in soils of three types planters by microbial colony count at two times per month. In addition, we perform 16S rRNA gene sequence analysis to compare difference of microbial community structures of soils from three types cultivation tests.",,,
3,R&D of DBD Plasma Reactor for Sterilizing Toothbrush,"Non-thermal atmospheric-pressure plasma has been intensively investigated for biomedical
applications [1-4], such as inactivation of bacteria including antibiotic-resist germs, fungi,
spores and viruses [5-7] and hemostasis [8,9]. In this study, we developed dielectric barrier
discharge (DBD) plasma reactor for inactivating streptococcus mutans and?porphyromonas
gingivalis etc. on toothbrush, which cause dental caries and periodontitis, respectively. DBD is
one of non-thermal atmospheric-pressure plasma . DBD requires small energy because current is
cut before the transition to arcing from streamer discharge.
In recent years, many bacteria including streptococcus mutans and porphyromonas
gingivalis etc. more survive and proliferate on toothbrush than past decades because of
increasing frequency of use in a day and decreasing the time for dry. It may be possible to
decrease the infection risk of dental caries and periodontitis by sterilizing toothbrush. For this
purpose, DBD plasma reactor was developed. DBD plasma reactor consists of grounded liquid
and high-voltage liquid electrode covered with dielectric material. DBD plasma was generated
in air gas between grounded liquid and dielectric material at room temperature. At present, we
will show the fundamental characteristics of the developed reactor, such as energy consumption
and decomposition-efficiency of indigo carmine, based on which a sterilization effect of the
reactor is expected. ?",,,
3,"Enhancement of Cardiomyocyte Differentiation at an Initial Low Density of
Human Induced Pluripotent Stem Cells","Recently, cardiac (heart Muscle) cells be successfully generated from human induced pluripotent stem
cells at high density [1]. However, the effect of seeding density on heart cells generation remains unclear.
We established a protocol to induce cardiomyocytes at super low density to clarity the effects of seeding
density [2]. But the protocol was able to induce only few percent. Here, we optimize Wnt inhibitor
conditions to induce more than 75% of cardiomyocytes.",,,
3,Hydrophilicity Evaluation Using? Rhodamine B of Plasma-Irradiated PDMS,"It is known that hydrophilicity can be evaluated from the contact angle.
However, this method is difficult to know the range and uniformity of hydrophilicity.
Since Rhodamine B is adsorbed on the hydrophobic surface, I considered that evaluation
of hydrophilicity could be made from the fluorescence intensity of the stained Rhodamine B","On going, but Rhodamine B can evaluate hydrophilicity. Moreover,
from the fluorescence intensity, it is possible to know the
hydrophilicity necessary for cell adhesion",,
3,Development of Earthworm Transformation Systems for Novel Research Tools.,"Environmental and health issue are important problems in our society. Soil contamination is a
global concern because it contaminates soil and groundwater. In particular, water contaminated with
harmful substances such as heavy metals have a strong negative influence on the human body, and also
it cannot be used for cultivating agricultural crops. Therefore, simple purification techniques and
monitoring techniques are required for solving these issues. Concerning a health problem, the number
of cancer patients is getting increased in modern society. As innovative medicines for this disease,
biological medicines made from transformed organisms have attracted a lot of attention. However,
biological medicines have some problems such as high-producing cost and difficulty of producing
process.
Our research target, Eisenia fetida and Eisenia andrei has been approved as the model animal of
acute toxicity test by Organization for Economic Co-operation and Development (OECD). This
animal has been treated as a widely studied material in the world. In addition, it is known to have a
metallothionein which is a heavy metal binding protein, but its detailed mechanism is still unknown.
Earthworms have also been studied for their therapeutic effects on human diseases such as antipyretic,
diuretic, fibrinolytic agent. We have already developed a dietary supplement using these functions [1].
Furthermore, Kim et al. reported the production method for biomedicine using earthworm, Perionyx
excavates. However, the detail transformation method of it is still unknown [2].
Therefore, earthworms have the potentiality for solving both the environmental and health
problems. However, common transformation systems leading to the drastic development of research
have not been established. Here, we have attempted to develop a transformation method of the
earthworm, but the transformation efficiency was only 16%. Hence, we investigated the optimal
condition of transformation and the egg culture conditions for the development of gene induction
methods into the Earthworm and the egg, respectively.
We succeeded in improving the transformation efficiency to 32% by changing electrode but the
survival rate decreased to 48%. Furthermore, we also succeeded in hatching eggs using a sand medium.
These results can be expected not only to contribute the development for earthworm genetic engineering
technology but to be utilized as a new model animal between the microorganisms to higher animals.
[1] Akazawa, S., Wakimoto, S., and Watanabe, T., Method for producing dry earthworm powder., Patent
No. 5548931 (2014).
[2] Kim, H. K., Ahn, C. H., and Tak, E. S., Method for producing transformed earthworms using
earthworm gonad-regeneration capability, transformed earthworms thereof, and method for producing
recombinant proteins form transformed earthworm body fluids., United States Pat. Appl. Publ. Pub. No.
US2012/0123100A1 (2012).",,,
3,"Development of Earthworm Cell Culture Basic Technology as Novel Animal
Host Cells","Biological medicines known as human therapeutic drugs are often produced by Chinese Hamster
Ovary (CHO). However, its production cost is hugely expensive because the process needs anaerobic
conditions. On the other hand, coelomocytes of earthworm, Eisenia fetida, can be cultured under the
aerobic conditions [1]. Therefore, the cost reduction would be expected by this species. In addition, E.
fetida has been approved as the model animal of acute toxicity test by Organization for Economic Co-
operation and Development (OECD). It has been treated as a wide-spread studied material in the world.
Hence, earthworm cell culture systems are not only beneficial for cost reduction but also various assay
system such as toxicity test. However, there have been few reports of earthworm cell culture systems
and no reports of single cell and subculture methods. Here, we attempted to develop basic methods of
earthworm cell culture system such as long-term cell culture and cell cryopreservation methods. We
attempted to construct the coelomocytes culture system based on the method of Fuller-Espie et al [2].
As a result, we obtained 7.3 ± 1.0 × 10 4 cells/earthworm using liquid nitrogen and 6.2 ± 3.5 × 10 5
cells/earthworm were corrected by an ultrasonic wave method without killing the earthworms. In
addition, we succeeded in the cell culture for 26 days without microorganism contamination using
Hansen S-301 medium.
Currently, we are investigating into a cell preserving system, and single cell culture system using
the organs such as a heart. These results contribute to developing the fundamental cell culture technology
of the earthworm.",,,
3,"Development of Non-task-oriented Dialogue System for Elderly Person Living
Alone","1. Introduction
The number of elderly persons living alone increase year by year. They are lonely, and they
need some supports. Recently, they can speak to another person using the internet. However,
about 70% elderly person over 75 cannot use the internet. Therefore, in order to cope with this
issue, we propose communication system without internet.
2. Non-task-oriented Dialogue System
The proposed system is consisted of speech synthesis, language analysis, dialogue
management, language generation, and speech synthesis.
The system has three features. First, it can work without internet. Second, it provides a lot of
opportunities to speak for elderly person. Third, it can distinguish words with multiple
meanings. The system adopts Word2Vec. It is a group of related models that are used to
produce word embeddings. And, it takes as its input a large corpus of text and produces a vector
space. Also, this can work without internet. The proposed system has functions that generate
responses by multiple modules. Word2Vec cannot understand multiple meaningful words. So,
conventional communication system using Word2Vec may stop conversation. On the other
hand, developed communication system used cos similarity calculation to distinguish words
with multiple meanings. As a result, it is easy to continue conversation.
3. Conclusion
The developed system was able to work without the internet. Furthermore, the system is
evaluated by co-occurrence network. The system has the effect that a lot of words are used in
conversation (Fig1). In other words, it can provide stimulating conversation ? better than
conventional system. Therefore, it is suitable as a talker for elderly person living alone.",,,
